Sample	Date	757_L150	avg. read
COG_01	20100303	364,441	144.63
COGITO_mtgs_1003	20100330	94,875	149.09
COG_02	20100408	340,415	136.95
COGITO_mtgs_1004	20100413	84,541	148.9
COGITO_mtgs_1004_3	20100420	100,993	149.01
COGITO_mtgs_1004_4	20100423	85,036	148.99
COGITO_mtgs_1004_2	20100430	80,845	148.7
COG_03	20100504	328,567	145.97
COGITO_mtgs_1005	20100511	95,367	148.76
COG_04	20100518	300,484	135.76
COGITO_mtgs_1103	20110321	125,028	148.74
COG_05	20110324	473,660	146.15
COGITO_mtgs_1103_3	20110328	106,521	148.83
COGITO_mtgs_1103_2	20110331	116,356	148.82
COGITO_mtgs_1104_3	20110404	126,819	148.74
COGITO_mtgs_1104_2	20110407	144,755	149.01
COGITO_mtgs_1104_5	20110414	118,832	148.84
COGITO_mtgs_1104	20110421	127,445	148.78
COGITO_mtgs_1104_4	20110426	123,601	148.8
COG_06	20110428	412,406	146.17
COGITO_mtgs_1105_3	20110506	116,842	148.71
COGITO_mtgs_1105_5	20110509	118,453	148.94
COGITO_mtgs_1105_4	20110512	108,755	148.62
COGITO_mtgs_1105_6	20110516	111,679	148.71
COGITO_mtgs_1105_2	20110519	129,510	148.65
COGITO_mtgs_1105_7	20110523	295,902	148.3
COG_07	20110526	394,366	141.72
COGITO_mtgs_1105	20110530	94,261	148.43
COG_08	20120308	326,748	135.67
COGITO_mtgs_1204_3	20120405	259,602	148.2
COGITO_mtgs_1204_2	20120412	258,057	148.7
COG_09	20120416	442,708	146.64
COGITO_mtgs_1204	20120426	164,737	145.95
COGITO_mtgs_1205_2	20120503	148,766	147.41
COG_10	20120510	390,876	146.34
COGITO_mtgs_1205_3	20120524	140,985	146.98
COGITO_mtgs_1205	20120531	107,680	146.78
COGITO_mtgs_1206	20120607	193,638	148.34
Helgoland_Spring	20160517	300,837	148.5
Helgoland_Spring_9	20160512	373,543	148.54
Helgoland_Spring_8	20160502	319,742	148.55
Helgoland_Spring_7	20160426	296,434	146.88
Helgoland_Spring_6	20160419	293,730	148.4
Helgoland_Spring_5	20160412	289,987	148.53
Helgoland_Spring_4	20160331	329,921	148.38
Helgoland_Spring_3	20160321	271,359	147.07
Helgoland_Spring_2	20160316	264,775	141.98
